Date,Price,Open,High,Low,Vol.,Change %
2017-09-08,801.2,797.98,802.9,797.82,132500000,0.56
2017-09-07,796.72,793.61,798.58,792.77,154510000,0.4
2017-09-06,793.55,792.16,793.82,788.89,155710000,0.16
2017-09-05,792.31,790.26,794.46,787.8,165410000,0.45
2017-09-01,788.73,784.42,789.19,784.18,146630000,0.76
2017-08-31,782.76,779.19,785.78,778.19,211650000,0.53
2017-08-30,778.65,774.31,778.65,773.85,203150000,0.6
2017-08-29,774.03,773.91,777.11,773.87,264850000,-0.42
2017-08-28,777.26,771.81,777.26,770.51,258570000,0.73
2017-08-25,771.63,769.07,771.63,768.57,225180000,0.24
2017-08-24,769.77,766.48,771.65,764.64,219610000,0.49
2017-08-23,765.98,762.42,765.98,759.01,158560000,0.62
2017-08-22,761.26,768.2,768.44,760.3,154110000,-0.98
2017-08-21,768.79,767.42,769.71,765.95,169700000,-0.02
2017-08-18,768.97,762.82,770.79,762.46,196320000,0.18
2017-08-17,767.59,773.48,774.47,767.59,238330000,-0.77
2017-08-16,773.57,771.1,773.57,766.8,169790000,0.33
2017-08-15,771.06,776.64,776.83,770.09,152540000,-0.66
2017-08-14,776.17,770.65,776.42,770.65,185520000,0.53
2017-08-11,772.08,773.43,774.31,769.14,169870000,-0.17
2017-08-10,773.43,769.58,776.77,769.58,190130000,-0.03
2017-08-09,773.66,789.15,789.15,773.66,307860000,-2.26
2017-08-08,791.57,795.8,796.62,789.84,228900000,-0.18
2017-08-07,792.98,789.41,796.09,788.66,222640000,0.55
2017-08-04,788.68,789.46,790.12,786.09,202950000,0.02
2017-08-03,788.49,786.23,790.82,786.19,208920000,0.29
2017-08-02,786.23,783.45,788.97,779.81,218990000,-0.07
2017-08-01,786.81,784.44,787.68,784.15,206360000,0.42
2017-07-31,783.55,777.54,783.58,776.72,267110000,0.83
2017-07-28,777.09,771.21,777.09,770.82,199880000,0.72
2017-07-27,771.5,773.21,774.97,770.3,202370000,-0.31
2017-07-26,773.88,769.35,773.88,764.92,208320000,0.86
2017-07-25,767.27,757.43,767.27,757.35,180740000,0.99
2017-07-24,759.74,759.97,761.64,753.82,158870000,-0.28
2017-07-21,761.86,768.9,770.43,761.86,179980000,-0.85
2017-07-20,768.41,768.56,768.56,763.55,183490000,-0.37
2017-07-19,771.3,771.33,774.12,770.18,236850000,0.5
2017-07-18,767.49,766.88,770.37,762.68,237790000,-0.18
2017-07-17,768.91,777.7,778.3,766.47,254750000,-1.12
2017-07-14,777.6,779.72,780.65,776.88,209250000,-0.09
2017-07-13,778.3,777.12,778.3,773.85,200640000,0.53
2017-07-12,774.17,772.6,775.08,769.83,176530000,0.63
2017-07-11,769.36,766.56,769.36,761.57,225540000,0.37
2017-07-10,766.56,775.85,775.85,764.43,217180000,-1.18
2017-07-07,775.73,783.73,783.81,775.73,261560000,-0.88
2017-07-06,782.65,780.5,782.77,779.99,238450000,0.56
2017-07-05,778.32,775.85,778.32,773.81,216490000,0.36
2017-07-04,775.54,779.15,779.15,772.9,232640000,-0.43
2017-07-03,778.88,777.2,780.01,775.53,195520000,0.31
2017-06-30,776.47,773.46,776.5,773.46,194380000,0.61
2017-06-29,771.75,771.26,773.08,769.89,211880000,0.35
2017-06-28,769.04,766.82,769.04,762.78,203560000,0.2
2017-06-27,767.51,773.15,773.4,767.19,235650000,-0.65
2017-06-26,772.52,770.5,773.14,769.73,235110000,0.46
2017-06-23,769.01,765.66,769.01,763.64,254930000,0.35
2017-06-22,766.3,768.41,769.99,766.3,224840000,-0.14
2017-06-21,767.41,765.71,767.83,758.9,248540000,-0.08
2017-06-20,767.99,767.59,768.29,764.42,229110000,0.15
2017-06-19,766.83,763.75,766.83,762.33,199980000,0.73
2017-06-16,761.24,761.75,762.43,759.98,221690000,0.09
2017-06-15,760.57,760.38,762.98,758.17,193280000,-0.03
2017-06-14,760.77,758.26,761.7,756.82,206340000,0.51
2017-06-13,756.89,751.09,756.89,750.1,204170000,0.77
2017-06-12,751.09,751.33,753.41,749.0,184320000,0.18
2017-06-09,749.72,749.46,752.01,749.04,178520000,-0.05
2017-06-08,750.13,751.7,751.96,748.91,262700000,-0.44
2017-06-07,753.46,752.75,754.92,751.65,211210000,0.29
2017-06-06,751.31,743.99,751.31,743.99,185360000,1.05
2017-06-05,743.49,739.13,745.14,738.35,218610000,0.63
2017-06-02,738.81,741.48,742.11,736.09,184550000,-0.4
2017-06-01,741.8,739.45,742.23,738.71,152240000,0.54
2017-05-31,737.82,738.91,741.93,735.39,214220000,-0.05
2017-05-30,738.21,747.07,747.43,738.21,261220000,-1.08
2017-05-29,746.25,746.08,748.06,745.31,252310000,0.38
2017-05-26,743.41,741.4,743.46,740.6,193180000,0.2
2017-05-25,741.91,744.24,746.48,740.89,205890000,-0.11
2017-05-24,742.74,739.91,744.27,737.3,225260000,0.24
